"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"dichromat","dichromat","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0-0.1",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"diffobj","diffobj","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.6.31",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"DNAcopy","DNAcopy","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.68.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"DO.db","DO.db","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.9",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.9.7)","methods, AnnotationDbi",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"DOSE","DOSE","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.20.1",NA,"R (>= 3.5.0)","AnnotationDbi, BiocParallel, DO.db, fgsea, ggplot2, GOSemSim
(>= 2.0.0), methods, qvalue, reshape2, stats, utils",NA,"prettydoc, clusterProfiler, knitr, rmarkdown, org.Hs.eg.db,
testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"downlit","downlit","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.2",NA,"R (>= 3.4.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"downloader","downloader","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.10",NA,"R (>= 3.4.0)","generics, glue (>= 1.3.2), lifecycle (>= 1.0.1), magrittr (>=
1.5), methods, R6, rlang (>= 1.0.2), tibble (>= 2.1.3),
tidyselect (>= 1.1.1), utils, vctrs (>= 0.4.1), pillar (>=
1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.1.1),
tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"dqrng","dqrng","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.0",NA,"R (>= 3.1.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","testthat, knitr, rmarkdown",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.7-12",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"EBImage","EBImage","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.36.0",NA,"methods","BiocGenerics (>= 0.7.1), graphics, grDevices, stats, abind,
tiff, jpeg, png, locfit, fftwtools (>= 0.9-7), utils,
htmltools, htmlwidgets, RCurl",NA,"BiocStyle, digest, knitr, rmarkdown, shiny",NA,"LGPL",NA,NA,NA,NA,"yes","4.1.1"
"edgeR","edgeR","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.36.0",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, Biobase, AnnotationDbi,
SummarizedExperiment, org.Hs.eg.db",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.1.1"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"enrichplot","enrichplot","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.14.2",NA,"R (>= 3.5.0)","aplot, DOSE (>= 3.16.0), ggplot2, ggraph, graphics, grid,
igraph, methods, plyr, purrr, RColorBrewer, reshape2, stats,
utils, scatterpie, shadowtext, GOSemSim, magrittr, ggtree,
yulab.utils (>= 0.0.4)",NA,"clusterProfiler, dplyr, europepmc, ggupset, knitr, rmarkdown,
org.Hs.eg.db, prettydoc, tibble, tidyr, ggforce, AnnotationDbi,
ggplotify, ggridges, grDevices, gridExtra, ggnewscale, ggrepel
(>= 0.9.0), ggstar, treeio, scales, tidytree, ggtreeExtra",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"enrichR","enrichR","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.1",NA,"R (>= 3.0.0)","httr, curl, rjson, ggplot2",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"ensembldb","ensembldb","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.18.4",NA,"BiocGenerics (>= 0.15.10), GenomicRanges (>= 1.31.18),
GenomicFeatures (>= 1.29.10), AnnotationFilter (>= 1.5.2)","methods, RSQLite (>= 1.1), DBI, Biobase, GenomeInfoDb,
AnnotationDbi (>= 1.31.19), rtracklayer, S4Vectors (>=
0.23.10), Rsamtools, IRanges (>= 2.13.24), ProtGenerics,
Biostrings (>= 2.47.9), curl",NA,"BiocStyle, knitr, EnsDb.Hsapiens.v86 (>= 0.99.8), testthat,
BSgenome.Hsapiens.NCBI.GRCh38, ggbio (>= 1.24.0), Gviz (>=
1.20.0), magrittr, rmarkdown, AnnotationHub","RMariaDB, shiny","LGPL",NA,NA,NA,NA,"no","4.1.3"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.19",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.3",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.1.1",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmatch","fastmatch","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1-3",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"fftwtools","fftwtools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9-11",NA,"R (>= 3.0)",NA,NA,"fftw",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"fgsea","fgsea","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.20.0",NA,"R (>= 3.3)","Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
gridExtra, grid, fastmatch, Matrix, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery",NA,"MIT + file LICENCE",NA,NA,NA,NA,"yes","4.1.1"
"filelock","filelock","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fitdistrplus","fitdistrplus","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1-8",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"FNN","FNN","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.3.1",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"fontawesome","fontawesome","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.0",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5.2",NA,"R (>= 3.4)","cli, ellipsis, glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble, withr",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.8-84","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"formatR","formatR","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.13",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.1.2"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"fs","fs","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"furrr","furrr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.1",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"futile.logger","futile.logger","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.1.0"
"futile.options","futile.options","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.1.0"
"future","future","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.30.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.32.1), tools, utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.2"
"future.apply","future.apply","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.10.0",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"gdata","gdata","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.18.0.1",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"genefilter","genefilter","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.76.0",NA,NA,"BiocGenerics, AnnotationDbi, annotate, Biobase, graphics,
methods, stats, survival, grDevices",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, RColorBrewer,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"geneplotter","geneplotter","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.72.0",NA,"R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate","AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils",NA,"Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"GenomeInfoDb","GenomeInfoDb","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.30.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"GenomeInfoDbData","GenomeInfoDbData","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.7",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"GenomicAlignments","GenomicAlignments","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.30.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"GenomicDataCommons","GenomicDataCommons","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.18.0",NA,"R (>= 3.4.0), magrittr","stats, httr, xml2, jsonlite, utils, rlang, readr,
GenomicRanges, IRanges, dplyr, rappdirs, SummarizedExperiment,
S4Vectors, tibble",NA,"BiocStyle, knitr, rmarkdown, DT, testthat, listviewer,
ggplot2, GenomicAlignments, Rsamtools, BiocParallel,
TxDb.Hsapiens.UCSC.hg38.knownGene, VariantAnnotation",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
